id,sector_id,title,path,code,is_asr,last,change,change_percent,open,high,low,previous_close,52w_low,52w_high,turnover,ytd_percent_change,1yr_percent_change,star_stock,market_cap,volume,last_traded,status,deleted_at,created_at,updated_at
2685,13,Bluescope Steel Ltd,BSL,BSL,False,18.18,-0.010,-0.055,18.270,18.420,18.090,18.19,8.030,18.800,29444764.6,4.005,30.886,False,9158761123,1612265,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:56.000000Z,2021-02-18T08:32:15.000000Z
4031,14,Resmed Inc,RMD,RMD,False,25.37,0.500,2.010,25.360,25.530,25.290,24.87,18.100,30.080,26509695.2,-6.831,-3.094,False,9031388414,1044151,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:26.000000Z
3937,15,Qantas Airways Ltd,QAN,QAN,False,4.7,-0.030,-0.634,4.730,4.750,4.670,4.73,2.030,6.830,54714566.0,-3.093,-25.397,False,8864410081,11604347,2021-02-17T18:15:48.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:26.000000Z
3801,18,Oil Search Ltd,OSH,OSH,False,4.24,-0.070,-1.624,4.400,4.430,4.210,4.31,1.808,6.377,42326877.0,14.286,-31.903,False,8810086815,9839928,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:00.000000Z,2021-02-18T08:32:25.000000Z
2405,,Australian Foundation Investment Company Ltd,AFI,AFI,False,7.2,-0.070,-0.963,7.270,7.290,7.200,7.27,4.770,7.720,3758972.6,-1.370,1.408,False,8760401258,518554,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:55.000000Z,2021-02-18T08:32:12.000000Z
3576,17,Mirvac Group,MGR,MGR,False,2.2,-0.020,-0.901,2.210,2.230,2.160,2.22,1.650,3.415,24180670.2,-16.667,-33.735,False,8662624322,11013964,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:59.000000Z,2021-02-18T08:32:23.000000Z
4334,19,Treasury Wine Estates Ltd,TWE,TWE,False,11.91,1.770,17.456,10.560,11.920,10.500,10.14,7.870,13.120,178365078.1,26.702,-0.750,False,8592355450,15712904,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:29.000000Z
3572,12,Magellan Financial Group Ltd,MFG,MFG,False,45.76,-1.730,-3.643,47.010,47.260,45.540,47.49,30.100,73.220,37864375.5,-14.722,-36.303,False,8405546132,822934,2021-02-17T18:42:37.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:59.000000Z,2021-02-18T08:32:22.000000Z
3554,22,Mercury NZ Ltd,MCY,MCY,False,6.07,-0.430,-6.615,6.260,6.260,6.000,6.5,3.660,7.170,38739.6,-3.190,14.745,False,8267485267,6270,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:59.000000Z,2021-02-18T08:32:22.000000Z
3200,17,GPT Group,GPT,GPT,False,4.17,-0.200,-4.577,4.250,4.260,4.110,4.37,2.820,6.280,29742112.9,-7.333,-33.493,False,8122865248,7132967,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:58.000000Z,2021-02-18T08:32:19.000000Z
3496,17,Lendlease Group,LLC,LLC,False,11.77,-0.080,-0.675,11.860,11.880,11.560,11.85,9.340,19.450,36979148.2,-10.153,-32.473,False,8101743615,3157659,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:59.000000Z,2021-02-18T08:32:22.000000Z
4175,,Spark New Zealand Ltd,SPK,SPK,False,4.34,0.020,0.463,4.310,4.370,4.310,4.32,3.350,4.720,3574189.4,-1.364,-5.240,False,8037121993,824413,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:28.000000Z
3796,18,Origin Energy Ltd,ORG,ORG,False,4.5,-0.100,-2.174,4.660,4.710,4.470,4.6,3.750,8.230,44515899.8,-5.462,-42.529,False,7925449820,9834807,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:00.000000Z,2021-02-18T08:32:25.000000Z
4220,15,Seven Group Holdings Ltd,SVW,SVW,False,22.89,-0.220,-0.952,22.800,23.080,22.260,23.11,8.920,24.250,19527060.1,-1.970,6.614,False,7767896746,855910,2021-02-17T19:01:29.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:28.000000Z
3627,12,Medibank Private Ltd,MPL,MPL,False,2.82,0.000,0.000,2.810,2.840,2.800,2.82,2.450,3.130,12743878.9,-6.312,-5.369,False,7766289137,4522798,2021-02-17T18:42:38.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:59.000000Z,2021-02-18T08:32:23.000000Z
4363,,Vanguard Australian Shares INDEX ETF,VAS,VAS,False,88.05,-0.030,-0.034,88.370,88.400,87.800,88.08,56.280,91.300,9938876.6,4.127,-2.750,False,7571193828,112758,2021-02-17T18:20:07.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:29.000000Z
2354,19,The a2 Milk Company Ltd,A2M,A2M,False,10.19,0.050,0.493,10.140,10.270,10.070,10.14,9.680,20.050,29958198.1,-11.004,-35.384,False,7567164688,2943456,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:55.000000Z,2021-02-18T08:32:12.000000Z
2830,20,Computershare Ltd,CPU,CPU,False,13.91,-0.270,-1.904,14.070,14.130,13.810,14.18,8.270,17.490,18440441.0,-4.661,-19.128,False,7523635139,1323538,2021-02-17T18:44:23.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:57.000000Z,2021-02-18T08:32:16.000000Z
3879,,Gold Corporation,PMGOLD,PMGOLD,False,23.01,-0.140,-0.605,22.980,23.060,22.910,23.15,22.910,28.800,3140225.5,-6.349,-4.005,False,7397715000,136753,2021-02-17T17:58:43.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:25.000000Z
2595,15,Aurizon Holdings Ltd,AZJ,AZJ,False,3.96,0.000,0.000,3.980,4.040,3.945,3.96,3.380,5.570,32814376.5,1.538,-28.131,False,7344295921,8248265,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:56.000000Z,2021-02-18T08:32:14.000000Z
3591,13,Mineral Resources Ltd,MIN,MIN,False,38.75,0.070,0.181,38.270,39.200,37.400,38.68,12.110,41.190,50318496.1,3.471,100.569,False,7308153164,1308694,2021-02-17T18:21:07.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:59.000000Z,2021-02-18T08:32:23.000000Z
3812,13,OZ Minerals Ltd,OZL,OZL,False,21.84,0.210,0.971,21.670,22.235,21.120,21.63,5.830,22.235,61319039.1,15.678,119.277,False,7245714949,2836871,2021-02-17T18:58:42.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:00.000000Z,2021-02-18T08:32:25.000000Z
3057,13,Evolution Mining Ltd,EVN,EVN,False,4.23,0.020,0.475,4.240,4.340,4.125,4.21,3.285,6.585,52228052.1,-15.230,-6.208,False,7227661770,12313418,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:57.000000Z,2021-02-18T08:32:18.000000Z
4368,17,Vicinity Centres,VCX,VCX,False,1.56,-0.020,-1.266,1.575,1.590,1.545,1.58,0.905,2.395,16463981.8,-2.804,-33.898,False,7101549558,10508103,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:03.000000Z,2021-02-18T08:32:29.000000Z
4170,18,Washington H Soul Pattinson & Company Ltd,SOL,SOL,True,29.38,-0.150,-0.508,29.510,29.850,29.080,29.53,16.660,30.840,4741088.9,-2.360,29.200,False,7033434502,161354,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:28.000000Z
